date,name,tier,lp,score
2021-01-15,탬탬버린유튜브좋아요#KR2,Bronze II,0,6
2021-05-15,탬탬버린유튜브좋아요#KR2,Bronze III,75,5.75
2023-05-01,탬탬버린유튜브좋아요#KR2,Bronze III,5,5.05
2023-08-11,탬탬버린유튜브좋아요#KR2,Iron I,37,3.37
2023-10-22,탬탬버린유튜브좋아요#KR2,Bronze IV,1,4.01
2024-02-04,탬탬버린유튜브좋아요#KR2,Iron III,88,1.88
2024-02-06,탬탬버린유튜브좋아요#KR2,Iron II,21,2.21
2024-02-07,탬탬버린유튜브좋아요#KR2,Iron I,25,3.25
2024-04-16,탬탬버린유튜브좋아요#KR2,Iron II,50,2.5
2024-05-02,탬탬버린유튜브좋아요#KR2,Iron I,8,3.08
2024-07-13,탬탬버린유튜브좋아요#KR2,Bronze IV,19,4.19
2024-09-20,탬탬버린유튜브좋아요#KR2,Bronze III,19,5.19
2024-09-21,탬탬버린유튜브좋아요#KR2,Bronze II,1,6.01
2024-09-29,탬탬버린유튜브좋아요#KR2,Bronze IV,83,4.83
2024-10-01,탬탬버린유튜브좋아요#KR2,Bronze III,14,5.14
2024-10-15,탬탬버린유튜브좋아요#KR2,Bronze IV,96,4.96
2024-10-23,탬탬버린유튜브좋아요#KR2,Bronze III,27,5.27
2024-10-25,탬탬버린유튜브좋아요#KR2,Bronze IV,87,4.87
2024-11-17,탬탬버린유튜브좋아요#KR2,Bronze III,22,5.22
2024-12-17,탬탬버린유튜브좋아요#KR2,Bronze III,90,5.9
2024-12-26,탬탬버린유튜브좋아요#KR2,Bronze II,16,6.16
2024-12-29,탬탬버린유튜브좋아요#KR2,Bronze I,3,7.03
2024-12-31,탬탬버린유튜브좋아요#KR2,Bronze II,79,6.79
2025-01-02,탬탬버린유튜브좋아요#KR2,Bronze III,92,5.92
2025-01-03,탬탬버린유튜브좋아요#KR2,Bronze II,19,6.19
2025-01-04,탬탬버린유튜브좋아요#KR2,Bronze III,95,5.95
2025-01-07,탬탬버린유튜브좋아요#KR2,Bronze III,94,5.94
2025-01-13,탬탬버린유튜브좋아요#KR2,Iron I,40,3.4
2025-01-16,탬탬버린유튜브좋아요#KR2,Bronze IV,4,4.04
2025-01-26,탬탬버린유튜브좋아요#KR2,Bronze III,20,5.2
2025-01-28,탬탬버린유튜브좋아요#KR2,Bronze II,7,6.07
2025-02-04,탬탬버린유튜브좋아요#KR2,Bronze I,10,7.1
2025-02-13,탬탬버린유튜브좋아요#KR2,Silver IV,6,8.06
2025-02-23,탬탬버린유튜브좋아요#KR2,Silver III,25,9.25
2025-03-19,탬탬버린유튜브좋아요#KR2,Silver IV,97,8.97
2025-03-20,탬탬버린유튜브좋아요#KR2,Silver III,24,9.24
2025-04-06,탬탬버린유튜브좋아요#KR2,Silver IV,97,8.97
2025-04-10,탬탬버린유튜브좋아요#KR2,Silver IV,79,8.79
2025-05-04,탬탬버린유튜브좋아요#KR2,Silver III,22,9.22
2025-09-11,탬탬버린유튜브좋아요#KR2,Silver II,37,10.37
2025-09-25,탬탬버린유튜브좋아요#KR2,Silver I,37,11.37
2025-09-27,탬탬버린유튜브좋아요#KR2,Gold IV,29,12.29
2025-10-02,탬탬버린유튜브좋아요#KR2,Gold III,3,13.03
2025-10-03,탬탬버린유튜브좋아요#KR2,Gold III,26,13.26
2025-10-06,탬탬버린유튜브좋아요#KR2,Gold II,49,14.49
2025-10-08,탬탬버린유튜브좋아요#KR2,Gold II,19,14.19
2025-10-26,탬탬버린유튜브좋아요#KR2,Gold III,81,13.81
2025-11-21,탬탬버린유튜브좋아요#KR2,Gold IV,72,12.72
2025-11-27,탬탬버린유튜브좋아요#KR2,Gold IV,85,12.85
